Job_Titles,Company_Names,Experience_Required,Package_Details,Locations,Skills,Post_Url,Post_Time
Business Analyst,Netprophets Cyberworks,10-12 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra(Kharadi)",Er StudioData WarehousingData ModelingAzure SQLAzure SynapseStar SchemaCosmosModeler,https://www.naukri.com/job-listings-data-analyst-right-step-consulting-private-limited-gurgaon-gurugram-1-to-4-years-231019500754,30+ Days Ago
Research Analyst,Mancer Consulting Services,10-12 Yrs,Not disclosed,Noida(Sector-63 Noida),AzureSAPPower BiPythonSQLDataMicrosoft AzureBi,https://www.naukri.com/job-listings-data-analyst-doubledutch-gurgaon-gurugram-3-to-7-years-220422500854,30+ Days Ago
Business Analyst (Remote),Loankuber,4-9 Yrs,Not disclosed,New Delhi,computer visionTensorflowOpencvImage ProcessingDeep LearningResnetDataProcess,https://www.naukri.com/job-listings-data-analyst-doubledutch-gurgaon-gurugram-1-to-3-years-210222501777,30+ Days Ago
Business Analyst,Careervira,1-4 Yrs,Not disclosed,Mumbai,Career developmentMediclaimStatistical analysisVenture capitalE-commerceDeploymentGamingPrivate equity,https://www.naukri.com/job-listings-data-analyst-impressico-business-solutions-pvt-ltd-noida-3-to-5-years-200722500948,30+ Days Ago
Business Analyst,Studyreach,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,SANAnalyticalSOCMachine learningInformation technologySQLPythonCRM,https://www.naukri.com/job-listings-data-analyst-knowledge-excel-services-delhi-gaur-2-to-5-years-170220500876,30+ Days Ago
Business Analyst - Mutual Fund,Carrier,8-10 Yrs,Not disclosed,Remote,C++Operations researchNeural networksAnalyticalMachine learningdata visualizationData miningSQL,https://www.naukri.com/job-listings-procurement-analyst-spend-data-analyst-statxo-gurgaon-gurugram-3-to-8-years-140322500812,30+ Days Ago
Business Analyst - Mutual Fund,Jindal Intellicom,5-8 Yrs,4-9 Lacs PA,Hyderabad/Secunderabad,JavascriptDeploymentAnalyticsPythonData,https://www.naukri.com/job-listings-data-analyst-geotechnosoft-noida-5-to-10-years-120423500828,30+ Days Ago
Traffic Forecasting Analyst,Jindal Intellicom,5-7 Yrs,Not disclosed,Chennai,Product managementData analysisData modelingAnalyticalDatabasemodel developmentAnalyticsSQL,https://www.naukri.com/job-listings-data-analyst-diverse-lynx-gurgaon-gurugram-1-to-5-years-100523502938,30+ Days Ago
Business Analyst IV,Resource Access Management Solutions Pvt. Ltd.,4-8 Yrs,Not disclosed,"Mumbai, Pune",Power BIAzuredata analysisData VisualizationData WarehousingData ModelingAWSSQL,https://www.naukri.com/job-listings-data-analyst-diverse-lynx-gurgaon-gurugram-3-to-6-years-100523502925,30+ Days Ago
Project Manager / Business Analyst,Creative Systems Solutions ( Libani ),4-7 Yrs,Not disclosed,Bangalore/Bengaluru,Cloud PlatformData SecurityData ArchitectureData GovernanceData IntegrationGovernanceIntegrationSecurity,https://www.naukri.com/job-listings-data-analyst-right-step-consulting-private-limited-gurgaon-2-to-5-years-090617500171,27 Days Ago
Business Analyst,Akiko Sherman Infotech,4-8 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka(1st Stage Indira Nagar +1)",BigdataBid DataSQLBig DataData,https://www.naukri.com/job-listings-data-analyst-brightly-noida-1-to-3-years-080623502191,Few Hours Ago
Business Analyst,Jindalx,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,PLMBackendProject managementAnalyticalBudgetingFMCGMS OfficePortfolio management,https://www.naukri.com/job-listings-data-analyst-sahibandhu-gurgaon-gurugram-1-to-3-years-060423500709,Few Hours Ago
Business Analyst,Jindalx,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,Linuxdata sciencePharmaArtificial IntelligenceOncologyPerlMolecular biologyJIRA,https://www.naukri.com/job-listings-data-analyst-decisiontree-analytics-and-services-private-limited-gurgaon-1-to-3-years-040620500939,7 Days Ago
Business Analyst BDE Pre Sales IT,Resy,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,ProcurementData analysisBackenddata scienceBusiness analyticsAnalyticalFMCGLicensing,https://www.naukri.com/job-listings-data-analyst-nurturing-green-retail-pvt-ltd-noida-4-to-9-years-020223500849,9 Days Ago
Business Analyst,Right Step Consulting,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,ProcurementData analysisSAPAnalyticalpower biForensicData analyticsQlikView,https://www.naukri.com/job-listings-it-data-scientist-analyst-siemens-energy-gurgaon-gurugram-2-to-6-years-300923502949,10 Days Ago
