Job_Titles,Company_Names,Experience_Required,Package_Details,Locations,Skills,Post_Url,Post_Time
"Lead Analyst, Data & Analytics",ANZ,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,data cleansingData analysisAutomationData managementData qualityData analyticsRisk managementContinuous improvement,https://www.naukri.com/job-listings-lead-analyst-data-analytics-anz-banking-group-bangalore-bengaluru-4-to-6-years-251023500010,3 Days Ago
Director Data Analytics (Immediate Joiner preferable),Techneplus Software,10-15 Yrs,Not disclosed,"Noida, Uttar Pradesh, Bangalore/ Bengaluru, Karnataka",Data ScienceData VisualizationData ModelingData ArchitectureData IntegrationData AnalysisDataArchitecture,https://www.naukri.com/job-listings-director-data-analytics-immediate-joiner-preferable-techneplus-software-noida-uttar-pradesh-bangalore-bengaluru-karnataka-10-to-15-years-261023009793,1 Day Ago
Data Analytics Lead,Gartner,5-8 Yrs,Not disclosed,Gurgaon/Gurugram,Process designChange managementProject managementAnalyticalData analyticsContinuous improvementStakeholder managementRecruitment,https://www.naukri.com/job-listings-data-analytics-lead-gartner-gurgaon-gurugram-5-to-8-years-261023500850,1 Day Ago
Data Analytics Analyst,Leading Indian IT Company,4-7 Yrs,Not disclosed,"Noida, Mumbai, Bangalore/Bengaluru",Data AnalysisRSASPower BIData VisualizationTableauRisk analysisMachine Learning,,2 Days Ago
Data Analytics Analyst,Foreign MNC in BPO,7-9 Yrs,Not disclosed,Jaipur,Data AnalyticsData EngineeringScalaHadoopOLAPSQL serverSQLPL/SQL,,1 Day Ago
,,7-9 Yrs,Not disclosed,Jaipur,Data AnalyticsData ModellingData EngineeringSchemaAgilePLSQLOLAPOracle,,1 Day Ago
,,3-7 Yrs,10-20 Lacs PA,"Hybrid - Gurgaon/ Gurugram, Haryana",SQLBusiness IntelligencePower BiMicrosoft Power BiData ExtractionAdvance SqlTableauDax Queries,,6 Days Ago
,,5-10 Yrs,Not disclosed,Mumbai,ExcelMISPower point presentationData analyticsBudgetingManagementStakeholder managementPowerpoint,,1 Day Ago
Manager/Team Lead Data Analytics,Human Development & Research Foundation,6-8 Yrs,Not disclosed,Gurgaon/Gurugram,Career developmentData managementAnalyticalConsultingMarket researchdata privacySPSSIPS,https://www.naukri.com/job-listings-manager-team-lead-data-analytics-human-development-research-foundation-noida-mumbai-bangalore-bengaluru-4-to-7-years-261023903983,4 Days Ago
Associate-Data Analytics,Deutsche Bank,3-8 Yrs,Not disclosed,"New Delhi, Delhi",Data Management And AnalysisStakeholder ManagementStrategic ThinkingAgriculture InsuranceStrategic PlanningRisk ManagementData managementManagement,https://www.naukri.com/job-listings-associate-data-analytics-deutsche-bank-ag-jaipur-7-to-9-years-271023911420,7 Days Ago
Associate- Data Analytics,Deutsche Bank,1-5 Yrs,3.5-5 Lacs PA,Mumbai (All Areas)(Mumbra),Data AnalysisData MiningData ExtractionData ProcessingData ManagementAnalysisManagementData analytics,https://www.naukri.com/job-listings-associate-data-analytics-deutsche-bank-ag-jaipur-7-to-9-years-271023910805,9 Days Ago
Data Analyst - US MNC (analytics),Aspyra Hr Services,7-9 Yrs,Not disclosed,Chennai,SQL queriesData analysisData modelingProgrammingData qualityData analyticsFinancial risk managementBusiness intelligence,https://www.naukri.com/job-listings-data-analyst-us-mnc-analytics-aspyra-hr-services-gurgaon-gurugram-haryana-3-to-7-years-211023005306,4 Days Ago
Manager - HR Data & Analytics,Crisil,5-10 Yrs,Not disclosed,"Hybrid - Mumbai, Maharashtra, Goregaon, Maharashtra",SQL CodingTableauSASAlteryxCampaign AnalyticsMarketing AnalyticsPythonSQL,https://www.naukri.com/job-listings-manager-hr-data-analytics-crisil-mumbai-5-to-10-years-261023500942,1 Day Ago
Sr Consultant - Data & Analytics - Digital,Gartner,15-20 Yrs,Not disclosed,"Hybrid - Hyderabad/ Secunderabad, Telangana",Data EngineeringBudget ManagementRecruitment ManagementPeople ManagementLeadership SkillsHiringDataData Architecture,https://www.naukri.com/job-listings-sr-consultant-data-analytics-digital-gartner-gurgaon-gurugram-6-to-8-years-231023500566,1 Day Ago
Data Analytics and Strategic Insights Analyst (Dasia),Strategic Alliance Management Services,2-6 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",Leadership developmentUsageManaged servicesWeb servicesData modelingData analyticsBusiness intelligenceContinuous improvement,https://www.naukri.com/job-listings-data-analytics-and-strategic-insights-analyst-dasia-strategic-alliance-management-services-new-delhi-delhi-3-to-8-years-201023007120,8 Days Ago
Data Analytics Analyst,Topgear Consultants,4-8 Yrs,Not disclosed,Gurgaon/Gurugram,Product managementCareer developmentOperations researchData modelingAnalyticalRelationship buildingMachine learningSQL,https://www.naukri.com/job-listings-data-analytics-analyst-topgear-consultants-mumbai-all-areas-1-to-5-years-181023007383,4 Days Ago
Data Analytics Senior Associate,The Depository Trust Clearing Corporation (DTCC),4-8 Yrs,20-35 Lacs PA,"Hybrid - Gurgaon/ Gurugram, Haryana, Bangalore/ Bengaluru, Karnataka",PythonTensorflowPredictive ModelingMatplotlibLogistic RegressionNeural NetworksMachine LearningDeep Learning,https://www.naukri.com/job-listings-data-analytics-senior-associate-the-depository-trust-clearing-corporation-dtcc-chennai-7-to-9-years-231023502097,1 Day Ago
Marketing Data & Analytics - Audience Data and Reporting - Associate,JPMorgan Chase Bank,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Data analysisChange managementEquity researchProcess improvementMarket intelligenceBusiness intelligenceAnalyticsTeam building,https://www.naukri.com/job-listings-marketing-data-analytics-audience-data-and-reporting-associate-jpmorgan-chase-bank-mumbai-maharashtra-goregaon-maharashtra-5-to-10-years-200923005296,7 Days Ago
Data & Analytics IT Manager,Flexability Hr Solutions,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,AutomationTranslationBusiness analysisTranslatoranalytics analystMachine learningFlexHTTP,https://www.naukri.com/job-listings-data-analytics-it-manager-flexability-hr-solutions-hyderabad-secunderabad-telangana-15-to-20-years-271023009009,7 Days Ago
DPS-Data & Analytics - BI Engineers -Senior Associate,PwC,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,Change managementERPSAPSenior AnalystProject managementmicrosoftData miningData warehousing,https://www.naukri.com/job-listings-dps-data-analytics-bi-engineers-senior-associate-pricewaterhouse-coopers-private-limited-hyderabad-secunderabad-bangalore-bengaluru-2-to-6-years-191023501060,17 Days Ago
Manager - Digital Product Analytics [Data Science],Resy,15-20 Yrs,Not disclosed,"Hybrid - Gurgaon/ Gurugram, Haryana",SAP BWPower BITableauS4HanaData managementManagementData analyticsData,https://www.naukri.com/job-listings-manager-digital-product-analytics-data-science-resy-gurgaon-gurugram-4-to-8-years-231023500954,14 Days Ago
Lead Data scientist / ML engineer -- US MNC (analytics),Aspyra Hr Services,8-12 Yrs,Not disclosed,"Hybrid - Hyderabad/ Secunderabad, Telangana",Azure CloudData AnalyticsAzure Data LakeData VisualizationETLAzure Machine LearningDataPM,https://www.naukri.com/job-listings-lead-data-scientist-ml-engineer-us-mnc-analytics-aspyra-hr-services-gurgaon-gurugram-haryana-bangalore-bengaluru-karnataka-4-to-8-years-271023012242,7 Days Ago
Product Manager - Data & Analytics,Alphasense,3-7 Yrs,Not disclosed,Chennai,SQL queriesData analysisData modelingProgrammingData qualityData analyticsFinancial risk managementBusiness intelligence,https://www.naukri.com/job-listings-product-manager-data-analytics-alphasense-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-5-years-201023500010,9 Days Ago
Data Insights & Analytics Analyst,Telstra,8-13 Yrs,Not disclosed,"Chennai, chennai",pythondata analyticsdata analysisdata visualizationSQLDataSeniorAnalytics,https://www.naukri.com/job-listings-data-insights-analytics-analyst-telstra-india-pvt-ltd-bangalore-bengaluru-3-to-7-years-201023500517,11 Days Ago
"Analyst, Data Analytics",Kennametal,5-10 Yrs,Not disclosed,Remote,RetailData analysisSalesAnalyticalMachine learningEquityEngineering projectsData analytics,https://www.naukri.com/job-listings-analyst-data-analytics-kennametal-india-bangalore-bengaluru-3-to-5-years-101023501697,8 Days Ago
Delivery Manager - Data Analytics & Modernization,Futurestep Recruitment Services,3-7 Yrs,15-25 Lacs PA,"Hybrid - Gurgaon/ Gurugram, Haryana",SASVba ExcelSAS MacrosSAS SQLVba CodingSAS GraphAdvanced ExcelSAS Programming,https://www.naukri.com/job-listings-delivery-manager-data-analytics-modernization-futurestep-recruitment-services-gurgaon-gurugram-haryana-15-to-20-years-131023007413,11 Days Ago
"Ready To Return: Architect, Data & Analytics Tech PM Lead- India",Pepsico,2-7 Yrs,Not disclosed,"Hybrid - Gandhidham, Gujarat, Hyderabad/ Secunderabad, Telangana, Mumbai (All Areas)",SASData ExtractionData AnalystReportingData AnalyticsData ValidationData ManipulationData Analysis,https://www.naukri.com/job-listings-ready-to-return-architect-data-analytics-tech-pm-lead-india-pepsico-hyderabad-secunderabad-telangana-8-to-12-years-201023009931,10 Days Ago
Data Analytics Senior Associate,Dtcc,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Electrical engineeringcontinuous integrationbig data analyticsAnalyticalgreenplumDatabase administrationInformation technologyMonitoring,https://www.naukri.com/job-listings-data-analytics-senior-associate-dtcc-chennai-3-to-7-years-181023501037,1 Day Ago
Data Analytics Senior Associate,Dtcc,3-7 Yrs,10-20 Lacs PA,"Hybrid - Gurgaon/ Gurugram, Haryana",SQLBusiness IntelligencePower BiMicrosoft Power BiAdvance SqlTableauDax QueriesPower Bi Reports,https://www.naukri.com/job-listings-data-analytics-senior-associate-dtcc-chennai-chennai-8-to-13-years-171023906823,23 Days Ago
Senior Manager Data Analytics,Lily Ai,4-9 Yrs,Not disclosed,Mumbai,Supply chainBusiness processData analysisManager Quality AssuranceData managementProject managementBusiness analyticsAnalytical,https://www.naukri.com/job-listings-senior-manager-data-analytics-lily-ai-remote-5-to-10-years-191023500619,30+ Days Ago
Data Analyst SAS+VBA- US MNC (analytics),Aspyra Hr Services,2-5 Yrs,Not disclosed,Mumbai,ProcurementData analysisSAPAnalyticalpower biForensicData analyticsQlikView,https://www.naukri.com/job-listings-data-analyst-sas-vba-us-mnc-analytics-aspyra-hr-services-gurgaon-gurugram-haryana-3-to-7-years-161023006151,30+ Days Ago
AM/ Manager - Data Analytics (SAS&SQL),Mastermind Network,10-20 Yrs,Not disclosed,Remote,SalesIT SalesSenior salesSales headsales directorBusiness DevelopmentAlliancesDevelopment,https://www.naukri.com/job-listings-am-manager-data-analytics-sas-sql-mastermind-network-gandhidham-gujarat-hyderabad-secunderabad-telangana-mumbai-all-areas-2-to-7-years-091023005358,1 Day Ago
Senior Data Engineer - Analytics,Grab,15-17 Yrs,Not disclosed,Hyderabad/Secunderabad,Business processData analysisdata scienceAnalyticalXMLData analyticsManager IIInformation technology,https://www.naukri.com/job-listings-senior-data-engineer-analytics-grab-bangalore-bengaluru-5-to-10-years-261023501500,30+ Days Ago
Data Analyst / data Analytics - US MNC (analytics),Aspyra Hr Services,6-8 Yrs,Not disclosed,"Gurgaon/Gurugram, Bangalore/ Bengaluru, Karnataka",Visual AnalyticsData Management And AnalysisSQLVisualization TechnologiesData AnalyticsBusiness IntelligencePower BiData Studio,https://www.naukri.com/job-listings-data-analyst-data-analytics-us-mnc-analytics-aspyra-hr-services-gurgaon-gurugram-haryana-3-to-7-years-041023009633,29 Days Ago
Data & Analytics R&D Product Analyst,Mondelez,12-15 Yrs,Not disclosed,Bangalore/Bengaluru,data cleansingData analysisGCPSCALAPythonAzureCloudData warehousing,https://www.naukri.com/job-listings-data-analytics-r-d-product-analyst-mondelez-india-foods-private-limited-mumbai-4-to-9-years-180923502055,30+ Days Ago
Risk Advisory Data Analytics Analyst,KPMG Global Services Private Limited,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,Product managementData analysisDTSConsultingAgileProduct planningBudgetingJIRA,https://www.naukri.com/job-listings-risk-advisory-data-analytics-analyst-kpmg-india-mumbai-2-to-5-years-100623501268,30+ Days Ago
Sales Director (Data Science & Analytics) | | Permanent WFH,Techno Compass Consulting,5-7 Yrs,Not disclosed,Bangalore/Bengaluru,Product managementData analysisDTSConsultingAgileProduct planningBudgetingJIRA,https://www.naukri.com/job-listings-sales-director-data-science-analytics-permanent-wfh-techno-compass-consulting-vadodara-baroda-gujarat-10-to-20-years-130623004902,30+ Days Ago
Data Analytics Manager - II,CBRE,4-9 Yrs,Not disclosed,Mumbai,business analysisData SciencePower BIAdvanced ExcelTableauPythonDataExcel,https://www.naukri.com/job-listings-data-analytics-manager-ii-cbre-group-hyderabad-secunderabad-15-to-17-years-110423501142,1 Day Ago
Associate Director - DATA Analytics,Akqa,4-8 Yrs,Not disclosed,Mumbai,Data scienceTableau Power BIBusiness analyticsAdvanced ExcelPythonExcelMarketing analyticsData,https://www.naukri.com/job-listings-associate-director-data-analytics-akqa-gurgaon-gurugram-bangalore-bengaluru-karnataka-6-to-8-years-290923004796,1 Day Ago
Databricks Unified Data Analytics Platform Data Platform Engineer,Accenture,9-14 Yrs,Not disclosed,Jaipur,Data warehouseMS Office applicationPower BIdata modellingZOHO AnalyticsSQL ServerTableauSSIS,https://www.naukri.com/job-listings-databricks-unified-data-analytics-platform-data-platform-engineer-accenture-solutions-pvt-ltd-bangalore-bengaluru-12-to-15-years-260923906523,15 Days Ago
Data Analytics Product Lead,Siemens,1-2 Yrs,Not disclosed,Bangalore/Bengaluru,Product managementData analysisdata scienceTalent acquisitionArtificial IntelligenceService engineeringMachine learningCloud,https://www.naukri.com/job-listings-data-analytics-product-lead-siemens-limited-bangalore-bengaluru-4-to-8-years-090923500753,30+ Days Ago
Data Analytics Product Manager,Siemens,3-8 Yrs,20-35 Lacs PA,"Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Bangalore/ Bengaluru, Karnataka",SQLPredictive ModelingStrategy DevelopmentSASPortfolio AnalysisLgdEadCredit Risk Modelling,https://www.naukri.com/job-listings-data-analytics-product-manager-siemens-limited-bangalore-bengaluru-5-to-7-years-090923500754,23 Days Ago
Data Scientist- Marketing Analytics,KiE Square Analytics,5-10 Yrs,25-40 Lacs PA,"Hybrid - Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Bangalore/ Bengaluru, Karnataka",PythonTensorflowPredictive ModelingMatplotlibLogistic RegressionNeural NetworksMachine LearningDeep Learning,https://www.naukri.com/job-listings-data-scientist-marketing-analytics-kie-square-analytics-mumbai-4-to-9-years-271023907974,11 Days Ago
Data Scientist- Marketing Analytics,KiE Square Analytics,3-7 Yrs,15-30 Lacs PA,"Hybrid - Gurgaon/ Gurugram, Haryana",ETLEtl PipelinesPysparkOracle SQLAzure DatabricksOracle ADFETL ToolSQL,https://www.naukri.com/job-listings-data-scientist-marketing-analytics-kie-square-analytics-mumbai-4-to-8-years-271023907971,7 Days Ago
Chief Manager Data Analytics -WFO Only(Jaipur),Ladders UP HR solutions,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Analytical skillsCROData analysisOperations researchPharmaLife sciencesdata visualizationOperations,https://www.naukri.com/job-listings-chief-manager-data-analytics-wfo-only-jaipur-ladders-up-hr-solutions-jaipur-9-to-14-years-131023905281,21 Days Ago
Engineer - Data Analytics,Everest Vacuum,2-5 Yrs,Not disclosed,Mumbai,Supply chainBusiness processData analysisManager Quality AssuranceData managementProject managementBusiness analyticsAnalytical,https://www.naukri.com/job-listings-engineer-data-analytics-everest-vacuum-bangalore-bengaluru-1-to-2-years-150723500335,30+ Days Ago
Data Analyst Risk/Fraud strategy - US MNC (analytics),Aspyra Hr Services,0-3 Yrs,Not disclosed,Hyderabad/Secunderabad,advanced analyticsTalent acquisitionAnalyticalArtificial IntelligenceMachine learningData AnalystData analyticsInternship,https://www.naukri.com/job-listings-data-analyst-risk-fraud-strategy-us-mnc-analytics-aspyra-hr-services-pune-maharashtra-gurgaon-gurugram-haryana-bangalore-bengaluru-karnataka-3-to-8-years-051023007368,30+ Days Ago
Lead Data scientist / ML engineer -- US MNC (analytics),Aspyra Hr Services,7-10 Yrs,Not disclosed,Bangalore/Bengaluru,ProcurementAutomationLegal complianceDiagnosticsAnalyticalTest designFinancial planningResearch,https://www.naukri.com/job-listings-lead-data-scientist-ml-engineer-us-mnc-analytics-aspyra-hr-services-pune-maharashtra-gurgaon-gurugram-haryana-bangalore-bengaluru-karnataka-5-to-10-years-161023006365,10 Days Ago
Data Engineer- US MNC (analytics),Aspyra Hr Services,6-10 Yrs,Not disclosed,Bangalore/Bengaluru,ProcurementManager TechnologyHRAnalyticsRecruitmentManagementDataTechnology,https://www.naukri.com/job-listings-data-engineer-us-mnc-analytics-aspyra-hr-services-gurgaon-gurugram-haryana-3-to-7-years-201023009166,8 Days Ago
Senior Clinical Data Analytics Associate,Cytel,1-3 Yrs,Not disclosed,Mumbai,ProcurementData analysisSAPAnalyticalpower biForensicData analyticsQlikView,https://www.naukri.com/job-listings-senior-clinical-data-analytics-associate-cytel-statistical-software-services-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-061023500487,30+ Days Ago
Data & Analytics R&D Product Analyst,Mondelez,5-10 Yrs,20-35 Lacs PA,"Hybrid - Gurgaon/ Gurugram, Haryana",SQLBusiness IntelligencePower BiBi ToolsData ExtractionData MiningTableauAdvance Sql,https://www.naukri.com/job-listings-data-analytics-r-d-product-analyst-mondel-z-international-mumbai-2-to-5-years-180923500461,22 Days Ago
Data Analyst Advanced Analytics,Perceptive Analytics,2-4 Yrs,Not disclosed,New Delhi,Data analysispower biData processingData qualityData analyticsdata visualizationInformation technologyData warehousing,https://www.naukri.com/job-listings-data-analyst-advanced-analytics-perceptive-analytics-hyderabad-secunderabad-0-to-3-years-100622500775,30+ Days Ago
Senior Manager - Data and Analytics Global Functions,GSK India,3-8 Yrs,Not disclosed,Gurgaon/Gurugram,Manager CreditPayment processingSASProcess orientationRisk managementStakeholder managementIT operationsPortfolio management,https://www.naukri.com/job-listings-senior-manager-data-and-analytics-global-functions-glaxosmithkline-pharmaceuticals-limited-bangalore-bengaluru-7-to-10-years-171023500520,30+ Days Ago
"Product Manager, Data and Analytics - Global Functions",GSK India,3-6 Yrs,Not disclosed,"Gurgaon/Gurugram, Bangalore/ Bengaluru, Karnataka",Digital campaign analyticsExcelGoogle AnalyticsSQLGoogle ADHBigqueryData StudioDigital,https://www.naukri.com/job-listings-product-manager-data-and-analytics-global-functions-glaxosmithkline-pharmaceuticals-limited-bangalore-bengaluru-6-to-10-years-191023501106,29 Days Ago
Risk Advisory Data Analytics Executive,KPMG Global Services Private Limited,9-10 Yrs,Not disclosed,Gurgaon/Gurugram,advanced analyticsAutomationHP data protectorAnalyticalConsultingData qualityMedical insuranceTeam building,https://www.naukri.com/job-listings-risk-advisory-data-analytics-executive-kpmg-india-mumbai-1-to-3-years-100623500327,30+ Days Ago
Lead Data Analyst - US MNC (analytics),Aspyra Hr Services,5-10 Yrs,Not disclosed,"Hyderabad/ Secunderabad, Telangana",Data ScienceData AnalyticsMachine LearningAnalyticsBlastDataMachineData analysis,https://www.naukri.com/job-listings-lead-data-analyst-us-mnc-analytics-aspyra-hr-services-gurgaon-gurugram-haryana-5-to-10-years-051023008961,22 Days Ago
Sr. Officer / Assistant Manager Data Analytics,RSM Astute Consulting,5-9 Yrs,Not disclosed,Pune,Cloud computingManager Internal AuditBusiness analyticsConsultingMachine learningAgileGap analysisRisk management,https://www.naukri.com/job-listings-sr-officer-assistant-manager-data-analytics-rsm-astute-consulting-private-limited-new-delhi-2-to-4-years-190723502225,30+ Days Ago
Senior Manager - Credit Portfolio & Data Analytics,SBI Card,4-7 Yrs,Not disclosed,Pune,Cloud computingOperations researchAnalyticalAgileRisk managementBusiness intelligenceGamingAnalytics,https://www.naukri.com/job-listings-senior-manager-credit-portfolio-data-analytics-sbi-cards-and-services-private-limited-gurgaon-gurugram-3-to-8-years-280723501149,30+ Days Ago
Data Analytics Manager,Akqa,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,Azure Data FactoryAzureDatabricksPysparkADLSAzure ADCloudDelta Lake,https://www.naukri.com/job-listings-data-analytics-manager-akqa-gurgaon-gurugram-bangalore-bengaluru-karnataka-3-to-6-years-290923004032,29 Days Ago
Manager Data Analytics,Gartner,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,Azure Data FactoryPysparkAzure DatabricksData AnalyticsAzure ADDelta Lakedata engineeringAzure Active Directory,https://www.naukri.com/job-listings-manager-data-analytics-gartner-gurgaon-gurugram-9-to-10-years-190923500849,29 Days Ago
Data Analyst - Blasting Analytics Centre of Excellence,Orica India,2-4 Yrs,Not disclosed,Bangalore/Bengaluru,Automationoperational supportProject managementWellnessVBMacrosCounsellingTechnical documentation,https://www.naukri.com/job-listings-data-analyst-blasting-analytics-centre-of-excellence-orica-india-hyderabad-secunderabad-telangana-5-to-10-years-061023006690,30+ Days Ago
"Senior Model Governance Analyst, Data Science & Analytics",Transunion,2-6 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",Leadership developmentManaged servicesWeb servicesData modelingData analyticsBusiness intelligenceContinuous improvementmicrosoft,https://www.naukri.com/job-listings-senior-model-governance-analyst-data-science-analytics-transunion-software-services-pvt-ltd-pune-5-to-9-years-190923501350,30+ Days Ago
"Analytics Analyst, Data Science & Analytics",Transunion,5-9 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru",Product managementBusiness processNoSQLManager TechnologyData analyticsInformaticaOperationsManager Business Intelligence,https://www.naukri.com/job-listings-analytics-analyst-data-science-analytics-transunion-software-services-pvt-ltd-pune-4-to-7-years-190923501348,30+ Days Ago
Databricks Unified Data Analytics Platform Data Platform Engineer,Accenture,4-5 Yrs,Not disclosed,Bangalore/Bengaluru,Computer scienceEngineering servicesAnalyticalData processingData analyticsQlikViewForecastingMacros,https://www.naukri.com/job-listings-databricks-unified-data-analytics-platform-data-platform-engineer-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-6-years-200723909696,30+ Days Ago
Databricks Unified Data Analytics Platform Data Platform Engineer,Accenture,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,Solution architectureEmbedded CC++Data modelingGCPMachine learningData structuresApache,https://www.naukri.com/job-listings-databricks-unified-data-analytics-platform-data-platform-engineer-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-6-years-150723903856,30+ Days Ago
Data Analytics - Consultant,Grant Thornton India Pvt Ltd,5-10 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka",Data AnalysisData VisualizationData ExtractionData AnalyticsDataEngineering LeadershipExtractionAnalytics,https://www.naukri.com/job-listings-data-analytics-consultant-grant-thornton-india-pvt-ltd-bangalore-bengaluru-2-to-4-years-160523503153,4 Days Ago
Data Analytics - BI Engineer - Senior Associate,PwC,6-12 Yrs,Not disclosed,Bangalore/Bengaluru,advanced analyticsHP data protectordata sciencedata securityAnalyticalData qualityData analyticsbig data,https://www.naukri.com/job-listings-data-analytics-bi-engineer-senior-associate-pricewaterhouse-coopers-private-limited-hyderabad-secunderabad-bangalore-bengaluru-2-to-6-years-080523501020,30+ Days Ago
Data & Analytics Product Manager,Baker Hughes,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,Statistical programmingData analysisSASData managementPharmaClinical researchHealthcareOncology,https://www.naukri.com/job-listings-data-analytics-product-manager-baker-hughes-the-network-mumbai-bangalore-bengaluru-5-to-9-years-210723502847,30+ Days Ago
Data Analytics Engineer,Quality Engineering Software Technologies Pvt. Ltd.,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisProject managementConsultingHealthcareClinical researchData analyticsUS healthcareMonitoring,https://www.naukri.com/job-listings-data-analytics-engineer-quality-engineering-software-technologies-pvt-ltd-bangalore-bengaluru-4-to-5-years-150723501097,30+ Days Ago
Data Analytics / Machine Learning Engineers,Tata Elxsi,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisAssuranceAnalyticalConsultingManagement consultingData analyticsdata visualizationRisk management,https://www.naukri.com/job-listings-data-analytics-machine-learning-engineers-tata-elxsi-ltd-bangalore-bengaluru-3-to-7-years-220223502023,30+ Days Ago
Lead Engineer- Data and Analytics,Bizapt Solutions,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisAssuranceAnalyticalConsultingData analyticsdata visualizationManagementRisk management,https://www.naukri.com/job-listings-lead-engineer-data-and-analytics-bizapt-solutions-bangalore-bengaluru-karnataka-5-to-10-years-260923008606,30+ Days Ago
Lead - Data & Analytics,Cxsearch Global Partners,2-5 Yrs,Not disclosed,Pune,advanced analyticsData analysisUsageAnalyticalMachine learningManager TechnologyData analyticsAnalytics,https://www.naukri.com/job-listings-lead-data-analytics-cxsearch-global-partners-llp-bangalore-bengaluru-6-to-12-years-300623501601,30+ Days Ago
"Manager , Data Analytics",Concerto.ai,2-4 Yrs,Not disclosed,New Delhi,Data analysispower biData qualityData analyticsdata visualizationInformation technologyData warehousingAnalytics,https://www.naukri.com/job-listings-manager-data-analytics-concerto-ai-bangalore-bengaluru-3-to-6-years-300523500165,30+ Days Ago
Engagement Manager - Real World Data Analytics,Icon Plc,3-5 Yrs,Not disclosed,Noida,Cloud computingData analysisDiagnosticsData collectionAgilepower biWorkflowData analytics,https://www.naukri.com/job-listings-engagement-manager-real-world-data-analytics-icon-pharmaceutical-s-bangalore-bengaluru-4-to-9-years-290723501082,30+ Days Ago
Data Analytics - Senior Associate,Value Vision Management Consultants,5-10 Yrs,Not disclosed,Gurgaon/Gurugram,SANSAPSASMySQLConsultingITESInformaticaSDLC,https://www.naukri.com/job-listings-data-analytics-senior-associate-value-vision-management-consultants-bangalore-bengaluru-5-to-8-years-300822500179,30+ Days Ago
Data Analytics - Associate,Value Vision Management Consultants,7-11 Yrs,Not disclosed,Gurgaon/Gurugram,Data scienceNLPData modelingmarketing analyticsMachine learningData analyticsrisk analyticsSQL,https://www.naukri.com/job-listings-data-analytics-associate-value-vision-management-consultants-bangalore-bengaluru-2-to-5-years-300822500178,24 Days Ago
Data Analytics Engineer,Varroc Engineering,8-10 Yrs,Not disclosed,Hyderabad/Secunderabad,ADLSAzure ADDelta LakeData analyticsAzure Data FactoryClouddata engineeringAdvertising,https://www.naukri.com/job-listings-data-analytics-engineer-varroc-engineering-pvt-ltd-pune-2-to-5-years-190523501781,30 Days Ago
Sr. Officer / Assistant Manager Data Analytics,Suresh Surana Associates LLP,4-7 Yrs,Not disclosed,Chennai,IT servicesERPBloombergGCPCloudManager TechnologyData analyticsBusiness intelligence,https://www.naukri.com/job-listings-sr-officer-assistant-manager-data-analytics-suresh-surana-associates-llp-new-delhi-2-to-4-years-060423502235,24 Days Ago
Engineer- Data Analytics,Idemia Group,8-13 Yrs,Not disclosed,Chennai,PayrollSASProject managementCredit risk managementConsultancyData qualityData analyticsdata visualization,https://www.naukri.com/job-listings-engineer-data-analytics-idemia-group-noida-3-to-5-years-030523501896,30+ Days Ago
Asset Data Analytics Consultant,Pasona,7-9 Yrs,Not disclosed,Mumbai,SAPSASPeopleSoftJD EdwardsInformaticaOracleSSISOpen source,https://www.naukri.com/job-listings-asset-data-analytics-consultant-pasona-gurgaon-gurugram-5-to-10-years-150923502013,30+ Days Ago
Analytics / Data Scientist - Lead,Paramount HR,6-10 Yrs,Not disclosed,Bangalore/Bengaluru,Operations researchProduction planningAnalyticalSchedulingOperationsAnalyticsSQLFICO,https://www.naukri.com/job-listings-analytics-data-scientist-lead-paramount-hr-gurgaon-gurugram-7-to-11-years-041023905747,18 Days Ago
