Job_Titles,Company_Names,Experience_Required,Package_Details,Locations,Skills,Post_Url,Post_Time
Lead- Capturing & Customer Success Manager For IoT Applications,ShareChat,0-2 Yrs,1.5-2.5 Lacs PA,"Tirupur/ Tiruppur, Tamil Nadu",Cdata scienceCodingMachine learningBankingAgileFraud analyticsProject planning,https://www.naukri.com/job-listings-senior-machine-learning-engineer-sharechat-bangalore-bengaluru-2-to-4-years-031023500824,24 Days Ago
Infrastructure Specialist: Azure Platform,M/s Prisma Garments,0-3 Yrs,Not disclosed,Gurgaon/Gurugram,Data analysisSalesMarket researchBrand awarenessMS OfficeMarketing ExecutiveMonitoringCRM,https://www.naukri.com/job-listings-management-trainee-mis-m-s-prisma-garments-tirupur-tiruppur-tamil-nadu-0-to-3-years-280923004835,30 Days Ago
Junior Relationship Executive,EXL,4-8 Yrs,Not disclosed,Gurgaon/Gurugram,Data analysisProject managementRelationship buildingSocial mediaConsultingVideo conferencingMonitoringSalesforce,https://www.naukri.com/job-listings-manager-exl-services-com-i-pvt-ltd-gurgaon-gurugram-5-to-12-years-201023501294,7 Days Ago
Microsoft Power BI Application Lead,EXL,0-2 Yrs,Not disclosed,Gurgaon/Gurugram,data scienceCloudTechnical architecturehybrid cloudartificial intelligenceazureAzure ChatbotInfrastructure,https://www.naukri.com/job-listings-lead-assistant-manager-exl-services-com-i-pvt-ltd-gurgaon-gurugram-4-to-7-years-201023501293,7 Days Ago
Associate-Accounts Payable,Growth 360,6-8 Yrs,Not disclosed,Gurgaon/Gurugram,data analysisresearchRelationshipAnalysisData,https://www.naukri.com/job-listings-head-finance-startup-ca-growth-360-gurgaon-gurugram-12-to-16-years-191023910501,8 Days Ago
Consultant,Optum,0-3 Yrs,Not disclosed,Gurgaon/Gurugram,Power BIOracleTeradataPythonData ScienceSQL Server analysis servicesDataMicrosoft Power Bi,https://www.naukri.com/job-listings-subject-matter-expert-customer-service-optum-global-solutions-india-private-limited-gurgaon-gurugram-2-to-4-years-191023909597,8 Days Ago
Marketing Executives,PwC,0-2 Yrs,Not disclosed,Gurgaon/Gurugram,AdministrationData analysisSAPMS AccessLitigationAnalyticalBillingCustomer service,https://www.naukri.com/job-listings-specialist-2-pricewaterhouse-coopers-private-limited-gurgaon-gurugram-4-to-6-years-191023500718,8 Days Ago
Teaching Assistant,EXL,0-3 Yrs,Not disclosed,Bangalore/Bengaluru,Supply chainData analysisDue diligenceManager Internal AuditBusiness transformationPrimary researchCost reductionCash flow,https://www.naukri.com/job-listings-manager-exl-services-com-i-pvt-ltd-gurgaon-gurugram-7-to-10-years-181023500794,9 Days Ago
Business Analyst,Siemens,0-4 Yrs,Not disclosed,Gurgaon/Gurugram,Social media marketingGraphicsPPCData analysisEmail marketingField marketingSocial mediaMarket research,https://www.naukri.com/job-listings-process-expert-purchase-to-pay-siemens-limited-bangalore-bengaluru-1-to-5-years-180923500387,30+ Days Ago
Business Analyst,PwC,4-5 Yrs,Not disclosed,"Gurgaon/ Gurugram, Haryana(Udyog Vihar Industrial Area Phase VI)",EconomicsPDFdata scienceProgrammingTeachingDataProgramAssistance,https://www.naukri.com/job-listings-associate-direct-tax-pricewaterhouse-coopers-private-limited-gurgaon-gurugram-2-to-4-years-131023501885,14 Days Ago
Business Analyst,Skylark Infra Engineering,5-8 Yrs,Not disclosed,Mumbai,Data analysisData modelingBusiness analysisMISData qualitydata integrityBusiness intelligenceTroubleshooting,https://www.naukri.com/job-listings-plant-and-machinery-engineer-skylark-infra-engineering-gurgaon-gurugram-haryana-0-to-5-years-091023004693,18 Days Ago
Great Opportunity To Work in Oman For Business Analysts,Grant Thornton,4-6 Yrs,Not disclosed,Mumbai,Business AnalyticsAnalyticalRequirement GatheringData AnalysisStatisticsBusiness analysisAnalyticsData,https://www.naukri.com/job-listings-consultant-grant-thornton-bharat-llp-mumbai-0-to-2-years-300922501315,30+ Days Ago
